Pasture,Patch,Year,NestID,Species,SpeciesNum,MeasureDate,TimeMeasured,NestlingAge_days,NestlingMass_g,Tarsus1,Tarsus2,Tarsus3,Mean Tarsus,Resid_MassVsTarsus_2014to2016,Resid_MassVsTarsus_2014to2015,AnyUnweighed,NestlingComments_D1
RNR,C,2014,RNR DICK 16 14,DICK,,6/27/2014,9.27,5,11.2,,,,17.88,-1.26524246,-1.342280079,N,
RNR,C,2014,RNR DICK 16 14,DICK,,6/27/2014,9.27,5,15.9,,,,19.3,1.87704384,1.78351117,N,
RNR,C,2014,RNR DICK 5 14,DICK,,6/14/2014,16.13,6,14.8,,,,18.69,1.446202542,1.359755774,N,
RNR,C,2014,RNR DICK 5 14,DICK,,6/14/2014,16.13,6,15.7,,,,19.45,1.512496618,1.417221513,N,
RNR,C,2014,RNR DICK 5 14,DICK,,6/14/2014,16.13,6,16.3,,,,19.13,2.463530691,2.371972781,N,
RNR,C,2014,RNR DICK 5 14,DICK,,6/14/2014,16.13,6,16.4,,,,21.08,0.424416807,0.310207242,N,
RNR,C,2014,RNR DICK 5 14,DICK,,6/14/2014,16.13,6,17.5,,,,19.71,3.027281433,2.928986108,N,
RNR,C,2014,RNR DICK 18 14,DICK,,6/27/2014,10.58,4,6.5,,,,12.52,-0.085421733,-0.100196341,N,Highly underdeveloped
RNR,C,2014,RNR DICK 18 14,DICK,,6/27/2014,10.58,5,9.2,,,,15.75,-0.92867191,-0.980966952,N,
RNR,C,2014,RNR DICK 18 14,DICK,,6/27/2014,10.58,5,11.5,,,,17.24,-0.263174314,-0.332777543,N,
RNR,C,2014,RNR DICK 18 14,DICK,,6/27/2014,10.58,5,11.8,,,,18.08,-0.884638756,-0.963999621,N,
RNR,C,2014,RNR DICK 18 14,DICK,,6/27/2014,10.58,5,12,,,,18.04,-0.640759497,-0.719655713,N,
RNR,C,2014,RNR DICK 48 14,DICK,,7/19/2014,11.2,5,9,,,,14.24,0.527770124,0.493015594,N,One chick no tarsus
RNR,C,2014,RNR DICK 48 14,DICK,,7/19/2014,11.2,5,11.5,,,,17.09,-0.098627092,-0.166487886,N,One chick no tarsus
RNR,C,2014,RNR DICK 10 14,DICK,,6/19/2014,6.17,6,11.5,,,,17.36,-0.394812091,-0.465809268,N,Nestlings look small for Day 6
RNR,C,2014,RNR DICK 10 14,DICK,,6/19/2014,6.17,6,11.9,,,,18.67,-1.431857829,-1.518072271,N,Nestlings look small for Day 6
RNR,C,2014,RNR DICK 29 14,DICK,,7/15/2014,15.07,7,13.1,,,,19.02,-0.615801346,-0.706081471,Y,One chick not weighed; feathers were highly unsheathed
STE,N,2014,STE DICK 5 14,DICK,,6/27/2014,15.7,5,11.3,,,,17.08,-0.287657277,-0.355401909,N,
STE,N,2014,STE DICK 5 14,DICK,,6/27/2014,15.7,5,12.1,,,,16.79,0.830467352,0.766091428,N,
STE,N,2014,STE DICK 5 14,DICK,,6/27/2014,15.7,5,13.8,,,,18.74,0.391353468,0.304325889,N,
STE,N,2014,STE DICK 14 14,DICK,,8/1/2014,12.52,5,8.03,,,,15.12,-1.407573578,-1.452550393,N,ORIGINALLY called it day 6; changed to day 5 based on tarsus
STE,W,2014,STE DICK 13 14,DICK,,8/5/2014,10,6,13.8,,,,18.75,0.380383653,0.293239912,N,
KLN,C,2015,KLN DICK 2 15,DICK,,8/22/2015,18.08,5,12.7,,,,16.4,1.858290129,1.798444536,N,
KLN,C,2015,KLN DICK 1 15,DICK,,8/13/2015,19.2,6,14.6,,,,18.74,1.191353468,1.104325889,N,
KLN,C,2015,KLN DICK 1 15,DICK,,8/13/2015,19.2,6,15.4,,,,18.91,1.804866616,1.715864278,N,
KLN,C,2015,KLN DICK 1 15,DICK,,8/13/2015,19.2,6,16.7,,,,20.6,1.250967917,1.142334144,N,
KLT,E,2015,KLT DICK 10 15,DICK,,7/27/2015,7.78,5,11.3,,,,18.55,-1.900220051,-1.985040546,N,
KLT,E,2015,KLT DICK 10 15,DICK,,7/27/2015,7.78,5,11.6,,,,19,-2.093861717,-2.183909517,N,
KLT,W,2015,KLT DICK 13 15,DICK,,8/11/2015,13.13,5,11.9,,,,20.06,-2.956662084,-3.059023092,N,Band numbers changed from 53 &54 to 52&53
KLT,W,2015,KLT DICK 13 15,DICK,,8/11/2015,13.13,5,12.1,,,,19.56,-2.208171345,-2.304724235,N,Band numbers changed from 53 &54 to 52&53
KLT,S,2015,KLT DICK 8 15,DICK,,7/24/2015,10.7,5,11,,,,15.48,1.16751309,1.118354431,N,
KLT,S,2015,KLT DICK 8 15,DICK,,7/24/2015,10.7,5,12.3,,,,17.23,0.547795501,0.478308434,N,
KLT,S,2015,KLT DICK 8 15,DICK,,7/24/2015,10.7,5,12.7,,,,17.65,0.48706328,0.412697395,N,
KLT,W,2015,KLT DICK 14 15,DICK,,8/10/2015,13.7,6,12.7,,,,19.67,-1.728839308,-1.826669984,N,
KLT,W,2015,KLT DICK 14 15,DICK,,8/10/2015,13.7,6,13.9,,,,18.94,0.271957172,0.182606346,N,
KLT,W,2015,KLT DICK 14 15,DICK,,8/10/2015,13.7,6,15.7,,,,20.3,0.580062361,0.474913458,N,
LTR,C,2015,LTR DICK 12 15,DICK,,7/30/2015,8,6,15,,,,18.56,1.788810134,1.703873477,N,
