ele,time,geoidheigh,name,type,Patch,Latitude,Longitude,Year,Pasture
339.908356000000026,2021/05/29 15:01:14.000,,RIE RWBL 2 21,user,RIE_N,4494412.12200000,404171.43660000,"2021",RIE
352.864562999999976,2021/06/15 13:36:18.000,,RIE RWBL 20 21,user,RIE_N,4494253.68900000,404266.98130000,"2021",RIE
352.382294000000002,2021/06/16 14:15:30.000,,RIE RWBL 21 21,user,RIE_N,4494272.77100000,404224.65650000,"2021",RIE
340.955688000000009,2021/06/19 16:36:24.000,,RIE RWBL 22 21,user,RIE_W,4493732.54800000,404111.65880000,"2021",RIE
356.370178000000010,2021/06/27 16:23:27.000,,RIE RWBL 23 21,user,RIE_E,4493836.18500000,404237.07040000,"2021",RIE
343.780333999999982,2021/06/27 16:43:06.000,,RIE RWBL 24 21,user,RIE_W,4493749.43400000,404119.24000000,"2021",RIE
355.401428000000010,2021/06/27 18:49:55.000,,RIE RWBL 25 21,user,RIE_E,4494243.86300000,404306.04130000,"2021",RIE
353.691466999999989,2021/05/29 16:55:21.000,,RIE RWBL 3 21,user,RIE_W,4493955.92000000,404120.79750000,"2021",RIE
353.090423999999985,2021/05/30 12:30:52.000,,RIE RWBL 4 21,user,RIE_E,4493901.12000000,404272.60960000,"2021",RIE
352.807312000000024,2021/05/30 12:47:35.000,,RIE RWBL 5 21,user,RIE_W,4493850.24000000,404223.03430000,"2021",RIE
355.481018000000006,2021/05/30 13:04:31.000,,RIE RWBL 6 21,user,RIE_E,4493915.01900000,404235.96960000,"2021",RIE
352.584991000000002,2021/05/30 13:13:18.000,,RIE RWBL 7 21,user,RIE_W,4493871.77700000,404197.49540000,"2021",RIE
341.587463000000014,2021/05/30 14:55:59.000,,RIE RWBL 8 21,user,RIE_W,4493752.66700000,404100.82930000,"2021",RIE
342.806670999999994,2021/05/30 15:03:57.000,,RIE RWBL 9 21,user,RIE_W,4493742.92800000,404107.05330000,"2021",RIE
346.557861000000003,2021/05/30 14:27:37.000,,RIE UNKN 1 21,user,RIE_E,4493778.54000000,404256.22190000,"2021",RIE
358.238250999999991,2021/06/15 11:39:46.000,,RIE WIFL 1 21,user,RIE_E,4494092.62000000,404307.82290000,"2021",RIE
358.529236000000026,2021/06/15 12:37:49.000,,RIE WIFL 2 21,user,RIE_E,4494139.55000000,404267.21000000,"2021",RIE
,,0.000000000000000,user,,,,,,
